session_id,user_id,track_id,session_intent,intent_encoded,mood_pre,mood_post,delta_mood,efficacy_rating,efficacy_label,tempo_bpm,energy,valence,acousticness,instrumentalness,speechiness,loudness_db,user_mean_mood,mood_pre_centered
sess_00000,user_0009,track_2221,sleep_induction,0,29.5,29.7,0.24,4,0,81.9,0.787,0.358,0.352,0.455,0.02,-8.2,9.173684210526316,20.326315789473682
sess_00001,user_0047,track_1938,anxiety_relief,1,24.6,32.0,7.42,7,1,84.7,0.447,0.851,0.624,0.048,0.138,-14.8,19.253333333333334,5.346666666666668
sess_00002,user_0105,track_0225,grief_processing,2,43.2,44.0,0.76,4,0,111.8,0.524,0.357,0.218,0.178,0.184,-19.7,47.0,-3.799999999999997
sess_00003,user_0040,track_3445,deep_focus,3,57.5,62.9,5.41,6,1,95.1,0.84,0.606,0.207,0.283,0.125,-18.6,56.24583333333334,1.2541666666666629
sess_00004,user_0357,track_1228,mood_uplift,4,60.0,64.0,4.01,5,0,121.8,0.631,0.401,0.628,0.285,0.248,-6.2,39.93636363636363,20.06363636363637
sess_00005,user_0330,track_2354,sleep_induction,0,16.2,11.5,-4.63,4,0,69.4,0.967,0.9,0.685,0.001,0.056,-13.6,14.945454545454545,1.254545454545454
sess_00006,user_0362,track_1125,anxiety_relief,1,39.8,43.0,3.16,5,0,96.9,0.912,0.476,0.307,0.108,0.097,-1.5,37.861111111111114,1.9388888888888829
sess_00007,user_0087,track_3590,grief_processing,2,5.0,8.3,3.27,6,0,103.5,0.749,0.067,0.298,0.009,0.039,-2.2,12.653333333333334,-7.653333333333334
sess_00008,user_0266,track_2319,deep_focus,3,40.1,39.0,-1.06,4,0,96.9,0.682,0.646,0.4,0.053,0.316,-6.0,46.900000000000006,-6.800000000000004
sess_00009,user_0086,track_3246,mood_uplift,4,29.2,28.6,-0.53,4,0,79.7,0.7,0.473,0.414,0.005,0.141,-13.1,26.688888888888886,2.511111111111113
sess_00010,user_0339,track_0127,sleep_induction,0,53.3,60.5,7.16,6,1,69.3,0.619,0.194,0.529,0.133,0.133,-2.3,28.18,25.119999999999997
sess_00011,user_0175,track_1600,anxiety_relief,1,44.6,40.4,-4.24,5,0,103.4,0.03,0.313,0.777,0.021,0.218,-2.1,47.025,-2.424999999999997
sess_00012,user_0144,track_1972,grief_processing,2,18.5,26.4,7.94,8,1,108.1,0.528,0.267,0.351,0.665,0.046,-23.8,18.955000000000002,-0.45500000000000185
sess_00013,user_0167,track_3266,deep_focus,3,53.2,58.8,5.61,5,1,40.0,0.495,0.721,0.259,0.066,0.178,-12.5,42.626315789473686,10.573684210526316
sess_00014,user_0160,track_1535,mood_uplift,4,13.3,9.9,-3.33,4,0,76.2,0.42,0.546,0.369,0.006,0.036,-3.7,14.433333333333334,-1.1333333333333329
sess_00015,user_0390,track_3251,sleep_induction,0,21.7,27.2,5.49,5,1,103.7,0.641,0.126,0.5,0.184,0.392,-12.8,12.6,9.1
sess_00016,user_0443,track_3356,anxiety_relief,1,35.1,44.1,8.95,7,1,86.4,0.293,0.711,0.249,0.182,0.052,-9.7,47.010000000000005,-11.910000000000004
sess_00017,user_0138,track_4415,grief_processing,2,62.1,60.7,-1.43,4,0,79.0,0.625,0.799,0.256,0.547,0.446,-11.6,60.05,2.0500000000000043
sess_00018,user_0132,track_0436,deep_focus,3,34.5,36.3,1.82,4,0,89.0,0.345,0.563,0.222,0.084,0.089,-16.5,39.91851851851852,-5.418518518518518
sess_00019,user_0325,track_0645,mood_uplift,4,15.9,15.8,-0.08,4,0,100.7,0.164,0.496,0.634,0.03,0.429,-14.0,34.9,-19.0
sess_00020,user_0090,track_2963,sleep_induction,0,65.5,66.7,1.23,8,1,82.9,0.568,0.624,0.561,0.097,0.072,-12.0,67.70588235294117,-2.205882352941174
sess_00021,user_0284,track_4359,anxiety_relief,1,32.7,32.4,-0.33,7,1,163.6,0.352,0.35,0.923,0.016,0.231,-24.9,31.422222222222224,1.2777777777777786
sess_00022,user_0007,track_2678,grief_processing,2,19.0,22.6,3.52,6,0,51.8,0.798,0.826,0.275,0.485,0.154,-26.5,33.30588235294118,-14.305882352941182
sess_00023,user_0128,track_0887,deep_focus,3,58.3,62.1,3.76,7,1,92.1,0.05,0.293,0.106,0.382,0.032,-26.3,57.82777777777778,0.4722222222222143
sess_00024,user_0249,track_1607,mood_uplift,4,5.0,0.0,-7.78,3,-1,110.9,0.519,0.446,0.368,0.015,0.131,-22.9,10.533333333333333,-5.533333333333333
sess_00025,user_0064,track_0902,sleep_induction,0,28.5,24.6,-3.91,5,0,100.6,0.751,0.677,0.224,0.205,0.02,-15.8,31.976470588235294,-3.476470588235294
sess_00026,user_0367,track_3297,anxiety_relief,1,35.6,39.5,3.89,5,0,103.2,0.53,0.305,0.522,0.674,0.14,-10.3,29.81875,5.78125
sess_00027,user_0170,track_0749,grief_processing,2,46.9,51.2,4.23,6,0,78.2,0.299,0.165,0.016,0.252,0.223,-8.5,44.17727272727273,2.722727272727269
sess_00028,user_0475,track_2778,deep_focus,3,24.8,28.7,3.88,5,0,119.0,0.377,0.512,0.172,0.21,0.029,-21.1,25.86923076923077,-1.0692307692307708
sess_00029,user_0146,track_1245,mood_uplift,4,11.4,8.6,-2.81,3,-1,107.0,0.3,0.601,0.136,0.067,0.317,-10.6,21.730434782608697,-10.330434782608696
sess_00030,user_0310,track_4094,sleep_induction,0,82.5,77.1,-5.39,4,-1,121.6,0.842,0.728,0.5,0.424,0.179,-5.8,64.76923076923077,17.730769230769226
sess_00031,user_0380,track_1718,anxiety_relief,1,55.6,61.8,6.23,7,1,123.2,0.582,0.44,0.538,0.101,0.349,-14.6,44.042857142857144,11.557142857142857
sess_00032,user_0403,track_1448,grief_processing,2,15.3,14.8,-0.49,1,-1,95.8,0.696,0.575,0.193,0.832,0.412,-16.1,20.785714285714285,-5.485714285714284
sess_00033,user_0067,track_0687,deep_focus,3,14.7,19.1,4.39,4,0,150.0,0.236,0.689,0.451,0.057,0.142,-21.9,40.121428571428574,-25.421428571428574
sess_00034,user_0316,track_4642,mood_uplift,4,28.4,30.1,1.64,6,0,131.4,0.806,0.638,0.6,0.152,0.052,-17.3,18.778947368421054,9.621052631578944
sess_00035,user_0489,track_4582,sleep_induction,0,38.0,38.6,0.59,6,0,109.5,0.358,0.424,0.11,0.557,0.02,-3.2,44.107692307692304,-6.107692307692304
sess_00036,user_0034,track_1613,anxiety_relief,1,57.6,60.4,2.84,5,0,107.4,0.726,0.096,0.097,0.144,0.25,-14.0,53.49375,4.106250000000003
sess_00037,user_0164,track_0657,grief_processing,2,25.0,22.4,-2.57,5,0,110.3,0.478,0.781,0.504,0.058,0.02,-17.3,18.164285714285715,6.835714285714285
sess_00038,user_0422,track_1910,deep_focus,3,38.3,41.9,3.6,5,0,81.6,0.651,0.118,0.336,0.29,0.097,-15.3,25.26666666666667,13.033333333333328
sess_00039,user_0257,track_4382,mood_uplift,4,24.7,27.8,3.15,6,0,119.2,0.855,0.872,0.317,0.395,0.099,-10.3,36.09411764705882,-11.394117647058824
sess_00040,user_0171,track_3878,sleep_induction,0,47.0,54.1,7.06,5,1,65.9,0.294,0.294,0.493,0.012,0.079,-15.5,23.66111111111111,23.33888888888889
sess_00041,user_0299,track_2751,anxiety_relief,1,51.6,52.5,0.95,7,1,93.2,0.277,0.774,0.345,0.481,0.232,-10.3,58.66842105263158,-7.068421052631578
sess_00042,user_0197,track_1312,grief_processing,2,40.1,47.2,7.11,7,1,84.7,0.596,0.573,0.635,0.245,0.07,-19.2,22.5,17.6
sess_00043,user_0081,track_3967,deep_focus,3,40.9,43.8,2.83,8,1,73.7,0.673,0.488,0.323,0.211,0.152,-6.6,50.325,-9.425000000000004
sess_00044,user_0128,track_4513,mood_uplift,4,62.9,62.5,-0.46,5,0,82.5,0.652,0.656,0.398,0.21,0.079,-21.0,57.82777777777778,5.072222222222216
sess_00045,user_0397,track_4027,sleep_induction,0,45.1,41.0,-4.07,4,0,124.0,0.826,0.487,0.443,0.067,0.271,-13.9,26.74736842105263,18.35263157894737
sess_00046,user_0490,track_3369,anxiety_relief,1,15.8,20.3,4.5,6,0,108.7,0.351,0.21,0.821,0.329,0.137,-22.2,11.73157894736842,4.06842105263158
sess_00047,user_0194,track_0047,grief_processing,2,35.2,33.2,-1.97,4,0,111.7,0.719,0.758,0.229,0.08,0.348,-12.8,24.486363636363638,10.713636363636365
sess_00048,user_0082,track_2960,deep_focus,3,61.1,64.8,3.77,6,0,66.9,0.594,0.045,0.58,0.069,0.107,-12.5,47.71052631578947,13.389473684210529
sess_00049,user_0271,track_3396,mood_uplift,4,24.7,23.4,-1.28,4,0,77.9,0.231,0.425,0.115,0.247,0.257,-12.5,8.782352941176471,15.917647058823528
sess_00050,user_0344,track_4209,sleep_induction,0,39.8,47.4,7.58,7,1,94.7,0.403,0.569,0.323,0.618,0.02,-22.0,45.46111111111111,-5.661111111111111
sess_00051,user_0156,track_0700,anxiety_relief,1,74.7,78.5,3.75,6,0,138.4,0.536,0.878,0.691,0.06,0.093,-12.1,59.3125,15.387500000000003
sess_00052,user_0311,track_4585,grief_processing,2,40.9,43.9,2.98,6,0,119.0,0.599,0.477,0.283,0.188,0.095,-20.9,47.34444444444445,-6.44444444444445
sess_00053,user_0150,track_2032,deep_focus,3,50.6,56.1,5.49,7,1,124.8,0.605,0.666,0.306,0.552,0.043,-26.5,36.699999999999996,13.900000000000006
sess_00054,user_0062,track_4667,mood_uplift,4,5.0,9.5,4.51,7,1,128.9,0.29,0.693,0.628,0.096,0.316,-23.2,18.60909090909091,-13.60909090909091
sess_00055,user_0030,track_4275,sleep_induction,0,58.8,68.7,9.92,7,1,93.4,0.132,0.43,0.083,0.536,0.151,-14.3,52.120000000000005,6.679999999999993
sess_00056,user_0126,track_1705,anxiety_relief,1,20.3,22.5,2.2,6,0,162.1,0.628,0.646,0.385,0.098,0.342,-5.7,14.344444444444443,5.9555555555555575
sess_00057,user_0211,track_4278,grief_processing,2,37.8,44.5,6.67,7,1,93.7,0.582,0.238,0.596,0.04,0.276,-6.9,31.446666666666665,6.353333333333332
sess_00058,user_0080,track_0808,deep_focus,3,18.6,20.4,1.83,5,0,95.4,0.182,0.342,0.29,0.363,0.023,-16.6,28.768181818181816,-10.168181818181814
sess_00059,user_0228,track_1673,mood_uplift,4,11.2,4.8,-6.4,4,-1,118.5,0.408,0.213,0.576,0.058,0.074,-11.1,16.98333333333333,-5.783333333333331
sess_00060,user_0357,track_2945,sleep_induction,0,54.9,57.3,2.42,6,0,111.8,0.756,0.501,0.669,0.048,0.103,-10.0,39.93636363636363,14.963636363636368
sess_00061,user_0429,track_1266,anxiety_relief,1,25.7,32.5,6.8,6,1,79.9,0.498,0.19,0.531,0.396,0.08,-9.9,41.778260869565216,-16.078260869565216
sess_00062,user_0474,track_2869,grief_processing,2,49.7,55.9,6.12,7,1,122.2,0.961,0.664,0.374,0.01,0.063,-10.9,39.57647058823529,10.123529411764714
sess_00063,user_0041,track_4590,deep_focus,3,40.7,42.1,1.45,2,-1,130.5,0.661,0.528,0.429,0.462,0.327,-7.2,44.29545454545455,-3.595454545454544
sess_00064,user_0175,track_1912,mood_uplift,4,54.7,61.1,6.35,8,1,121.6,0.794,0.815,0.543,0.16,0.099,-11.9,47.025,7.675000000000004
sess_00065,user_0278,track_0208,sleep_induction,0,46.5,51.3,4.81,6,0,78.7,0.667,0.797,0.449,0.011,0.182,-15.6,44.873333333333335,1.6266666666666652
sess_00066,user_0015,track_1485,anxiety_relief,1,24.3,25.0,0.75,7,1,80.7,0.687,0.531,0.415,0.072,0.062,-2.5,29.200000000000003,-4.900000000000002
