user_id,baseline_mood,age_group,sensitivity_flags,n_sessions
user_0000,60.95540115420069,35-44,,12
user_0001,17.71029798596029,35-44,"anxiety_prone,sleep_disorder",45
user_0002,42.25067773055889,45-54,,47
user_0003,35.732480156154395,25-34,sleep_disorder,14
user_0004,30.8189996650292,55+,,55
user_0005,36.64975959509375,55+,,14
user_0006,35.2170594344665,55+,,16
user_0007,34.18091607074369,45-54,,15
user_0008,32.24020935504533,55+,,45
user_0009,5.0,55+,anxiety_prone,41
user_0010,44.294732179319915,45-54,,19
user_0011,17.073228318636477,45-54,,24
user_0012,44.86914008624075,35-44,grief_sensitive,57
user_0013,48.23317842072725,45-54,grief_sensitive,48
user_0014,43.48801840049622,45-54,,52
user_0015,29.163383405846748,35-44,,49
user_0016,26.86154025104462,55+,sleep_disorder,24
user_0017,34.06165955019093,35-44,,53
user_0018,51.06342456894779,18-24,anxiety_prone,10
user_0019,60.10967289584287,35-44,,6
user_0020,20.069741691474817,45-54,anxiety_prone,21
user_0021,43.235187602687084,55+,,31
user_0022,43.95713799654464,35-44,,24
user_0023,24.348213098625827,55+,anxiety_prone,30
user_0024,41.33391998583208,25-34,grief_sensitive,14
user_0025,41.886243197878564,55+,anxiety_prone,8
user_0026,24.749571138362814,18-24,,22
user_0027,41.96009387909119,45-54,,13
user_0028,37.812916633952604,45-54,"grief_sensitive,anxiety_prone",9
user_0029,11.657415877515458,18-24,grief_sensitive,26
user_0030,57.15734349144551,45-54,,55
user_0031,30.916103748633677,55+,"anxiety_prone,sleep_disorder",41
user_0032,16.95373992675278,45-54,"grief_sensitive,anxiety_prone",5
user_0033,21.26384694247999,25-34,,48
user_0034,52.0411591782145,25-34,,35
user_0035,37.22463309868731,55+,anxiety_prone,16
user_0036,38.361215292715826,35-44,,46
user_0037,32.45463792047983,18-24,,22
user_0038,48.12818921955843,35-44,,44
user_0039,57.74369317195783,55+,,46
user_0040,54.49760132547661,45-54,,47
user_0041,46.17287167731211,55+,,53
user_0042,34.91097874629108,18-24,,21
user_0043,45.261009839527,45-54,anxiety_prone,48
user_0044,21.93228894100019,25-34,anxiety_prone,31
user_0045,46.463081781263455,18-24,,55
user_0046,48.25515082329402,45-54,anxiety_prone,2
user_0047,14.99919681434609,25-34,sleep_disorder,41
